Location,size,Area,Price,area_per_bhk,price_per_area
Juhu,2,1000,2950000,500.0,2950.0
Juhu,2,1000,7500000,500.0,7500.0
Kalwa,1,650,7500000,650.0,11538.461538461539
Kalwa,1,650,7500000,650.0,11538.461538461539
Kalwa,1,650,7500000,650.0,11538.461538461539
Kalwa,1,600,5500000,600.0,9166.666666666666
Kalwa,1,580,5500000,580.0,9482.758620689656
Kalwa,1,630,5600000,630.0,8888.888888888889
Kalwa,1,620,6000000,620.0,9677.41935483871
Kalwa,2,711,9750000,355.5,13713.08016877637
Kalwa,1,560,5300000,560.0,9464.285714285714
Kalwa,1,488,6656000,488.0,13639.344262295082
Kalwa,2,711,9750000,355.5,13713.08016877637
Kalwa,1,560,5300000,560.0,9464.285714285714
Kalwa,2,770,9250000,385.0,12012.987012987012
Kalwa,2,1145,20099999,572.5,17554.58427947598
Kalwa,2,1051,13000000,525.5,12369.172216936251
Kalwa,5,2500,12000000,500.0,4800.0
Kalwa,1,580,8000000,580.0,13793.103448275862
Kalwa,1,580,7000000,580.0,12068.965517241379
Kalwa,1,500,6500000,500.0,13000.0
Kalwa,1,620,6500000,620.0,10483.870967741936
Kalwa,1,660,5500000,660.0,8333.333333333334
Kalwa,1,680,5700000,680.0,8382.35294117647
