Location,size,Area,Price,area_per_bhk,price_per_area
Ambattur,2,886,5550000,443.0,6264.10835214447
Ambattur,2,1047,5821000,523.5,5559.694364851958
Ambattur,2,1053,6730000,526.5,6391.263057929725
Ambattur,2,721,5965000,360.5,8273.231622746185
Ambattur,2,890,3800000,445.0,4269.662921348315
Ambattur,2,867,8600000,433.5,9919.26182237601
Ambattur,2,930,2450000,465.0,2634.4086021505377
Ambattur,2,760,4150000,380.0,5460.526315789473
Ambattur,2,965,3500000,482.5,3626.943005181347
Ambattur,2,821,4161999,410.5,5069.426309378807
Ambattur,2,840,2900000,420.0,3452.3809523809523
Ambattur,2,925,7051000,462.5,7622.7027027027025
Ambattur,2,705,4796000,352.5,6802.836879432624
Ambattur,2,1090,3601000,545.0,3303.669724770642
Ambattur,2,925,7500000,462.5,8108.108108108108
Ambattur,2,760,2513000,380.0,3306.5789473684213
Ambattur,2,740,2408000,370.0,3254.054054054054
Anna Nagar,3,1565,24200000,521.6666666666666,15463.258785942491
Anna Nagar,3,1565,24200000,521.6666666666666,15463.258785942491
Anna Nagar,2,963,6259000,481.5,6499.4807892004155
Anna Nagar,2,850,13600000,425.0,16000.0
Anna Nagar,3,1161,15000000,387.0,12919.896640826873
Anna Nagar,2,984,6396000,492.0,6500.0
Anna Nagar,2,1069,6948000,534.5,6499.532273152479
Anna Nagar,2,994,6461000,497.0,6500.0
Anna Nagar,2,983,6389000,491.5,6499.491353001017
Anna Nagar,2,984,6396000,492.0,6500.0
Anna Nagar,2,994,6461000,497.0,6500.0
Anna Nagar,2,994,6461000,497.0,6500.0
Anna Nagar,2,994,6461000,497.0,6500.0
Anna Nagar,2,983,6389000,491.5,6499.491353001017
Anna Nagar,2,984,6396000,492.0,6500.0
Anna Nagar,2,994,6461000,497.0,6500.0
Anna Nagar,3,2062,22000000,687.3333333333334,10669.25315227934
Anna Nagar,3,2062,22000000,687.3333333333334,10669.25315227934
Anna Nagar,3,2062,21000000,687.3333333333334,10184.287099903007
Anna Nagar,2,1555,15500000,777.5,9967.845659163988
Anna Nagar,2,983,6389000,491.5,6499.491353001017
Anna Nagar,2,1051,6831000,525.5,6499.524262607041
Anna Nagar,2,1021,6636000,510.5,6499.510284035259
Anna Nagar,2,963,6259000,481.5,6499.4807892004155
Anna Nagar,2,983,6389000,491.5,6499.491353001017
Anna Nagar,2,1010,6565000,505.0,6500.0
Anna Nagar,2,1021,6636000,510.5,6499.510284035259
Anna Nagar,4,3355,51600000,838.75,15380.029806259314
Anna Nagar,3,2062,24500000,687.3333333333334,11881.668283220175
Anna Nagar,3,1161,15600000,387.0,13436.692506459949
Anna Nagar,3,1283,20500000,427.6666666666667,15978.17614964926
Anna Nagar,2,1748,22300000,874.0,12757.437070938215
Anna Nagar,3,1610,25400000,536.6666666666666,15776.39751552795
Anna Nagar,3,1750,31200000,583.3333333333334,17828.571428571428
Anna Nagar,3,1610,25400000,536.6666666666666,15776.39751552795
Anna Nagar,3,1540,26600000,513.3333333333334,17272.727272727272
Anna Nagar,3,1375,24800000,458.3333333333333,18036.363636363636
Anna Nagar,3,1525,27200000,508.3333333333333,17836.06557377049
Anna Nagar,3,1875,33900000,625.0,18080.0
Anna Nagar,3,1560,28000000,520.0,17948.71794871795
Anna Nagar,3,1500,26400000,500.0,17600.0
Anna Nagar,3,1565,27400000,521.6666666666666,17507.987220447285
Anna Nagar,3,1520,27100000,506.6666666666667,17828.947368421053
Anna Nagar,3,1540,26600000,513.3333333333334,17272.727272727272
Anna Nagar,3,1375,24800000,458.3333333333333,18036.363636363636
Anna Nagar,3,1525,27200000,508.3333333333333,17836.06557377049
